open,max,min,close
1.26886,1.26937,1.26862,1.26922
1.26921,1.26947,1.26875,1.26942
1.26934,1.26985,1.26895,1.26919
1.26896,1.26958,1.26883,1.26925
1.26934,1.26998,1.26903,1.26986
1.26987,1.27,1.26926,1.2694
1.26939,1.2697,1.2689,1.26954
1.2696,1.26987,1.26887,1.26928
1.26926,1.26941,1.26789,1.26813
1.26806,1.26821,1.26757,1.26811
1.26814,1.26884,1.26795,1.26821
1.26815,1.26974,1.26798,1.26966
1.26974,1.27034,1.26929,1.26981
1.26974,1.27031,1.26928,1.26995
1.27005,1.27038,1.26964,1.27034
1.27029,1.27046,1.26954,1.26961
1.26968,1.26996,1.2685,1.26922
1.26915,1.26942,1.26862,1.26928
1.2693,1.26948,1.26839,1.26879
1.26893,1.26927,1.26852,1.26904
1.26905,1.26987,1.26858,1.26958
1.26962,1.26983,1.26885,1.26981
1.2694,1.26978,1.26908,1.26956
1.26941,1.26957,1.26878,1.26899
1.26895,1.26899,1.26837,1.2688
1.26887,1.26921,1.26854,1.26904
1.26887,1.26906,1.26758,1.26804
1.26826,1.26884,1.2679,1.26813
1.22797,1.22853,1.22759,1.22835
1.22841,1.22888,1.22788,1.2288
1.22878,1.22894,1.22818,1.22885
1.2289,1.22925,1.22854,1.22884
1.22886,1.22918,1.22855,1.22886
1.22883,1.22955,1.22866,1.22947
1.22948,1.22951,1.22899,1.22941
1.22931,1.22955,1.22888,1.22916
1.22917,1.22931,1.22887,1.22905
1.22916,1.22936,1.22851,1.22866
1.22861,1.22902,1.22853,1.22902
1.22893,1.22927,1.22855,1.22912
1.22897,1.22975,1.22877,1.22952
1.22958,1.22976,1.22898,1.22963
1.22958,1.22978,1.22915,1.22938
1.22925,1.22959,1.22891,1.2292
1.22934,1.22941,1.22902,1.22925
1.22909,1.2295,1.22884,1.22907
1.22915,1.22926,1.22853,1.22868
1.22892,1.22905,1.22855,1.22884
1.22904,1.22941,1.22888,1.22926
1.22916,1.22965,1.2289,1.2293
1.22949,1.22959,1.22906,1.22946
1.22936,1.22965,1.2289,1.22909
1.22898,1.22928,1.22867,1.22878
1.22886,1.22919,1.22854,1.22893
1.22886,1.22891,1.22831,1.22854
1.2285,1.22897,1.22836,1.22886
