open,max,min,close
1.5975,1.59775,1.5975,1.59775
1.59775,1.5978,1.59765,1.59775
1.59775,1.59795,1.5977,1.5979
1.5979,1.59865,1.5979,1.5986
1.59835,1.59835,1.59835,1.59835
1.59835,1.59835,1.5979,1.59795
1.598,1.59805,1.5978,1.5978
1.5978,1.5978,1.59745,1.59755
1.5975,1.5976,1.59705,1.59755
1.59755,1.59755,1.59695,1.5972
1.5972,1.59735,1.59715,1.59735
1.59735,1.5978,1.59735,1.5978
1.5978,1.5981,1.5978,1.5981
1.5981,1.59835,1.5981,1.59835
1.59835,1.59855,1.59825,1.5985
1.59865,1.59885,1.5981,1.5981
1.59815,1.5982,1.59785,1.59795
1.59795,1.598,1.5967,1.5967
1.59675,1.5968,1.5964,1.5967
1.59665,1.5973,1.59655,1.5972
1.5972,1.59745,1.5971,1.5973
1.5973,1.59755,1.5971,1.5971
1.59705,1.5973,1.59705,1.5972
1.5972,1.5973,1.5971,1.59725
1.59725,1.59725,1.59665,1.5967
1.59665,1.59665,1.5963,1.59645
1.5964,1.59655,1.59635,1.5965
1.5965,1.59665,1.5963,1.5966
1.6285,1.6287,1.62845,1.6286
1.6286,1.62885,1.6285,1.62885
1.62885,1.62935,1.62885,1.62925
1.62935,1.6296,1.62925,1.6295
1.6295,1.63025,1.6293,1.6302
1.6302,1.63035,1.6297,1.6298
1.6299,1.63065,1.6299,1.6306
1.6306,1.63075,1.63025,1.63035
1.63035,1.63035,1.62945,1.62955
1.6295,1.62985,1.6294,1.6298
1.6298,1.6302,1.6298,1.63015
1.63015,1.6307,1.63005,1.63045
1.63045,1.6308,1.63045,1.63055
1.63055,1.6306,1.63005,1.63025
1.63025,1.63045,1.62985,1.6301
1.6301,1.6302,1.62965,1.62975
1.62975,1.6301,1.6294,1.6295
1.6295,1.6297,1.62935,1.62965
1.62965,1.6303,1.6294,1.63005
1.63005,1.6302,1.62965,1.63
1.63005,1.6307,1.63005,1.63045
1.63045,1.6308,1.6303,1.63035
