open,max,min,close
90.115,90.12,90.11,90.115
90.115,90.14,90.115,90.13
90.13,90.17,90.115,90.165
90.165,90.19,90.15,90.19
90.185,90.19,90.165,90.17
90.17,90.17,90.14,90.16
90.16,90.16,90.16,90.16
90.16,90.16,90.145,90.145
90.145,90.16,90.145,90.155
90.155,90.16,90.145,90.15
90.15,90.155,90.14,90.15
90.15,90.165,90.14,90.16
90.155,90.16,90.145,90.155
90.155,90.22,90.15,90.22
90.22,90.245,90.205,90.225
90.225,90.235,90.18,90.19
90.19,90.2,90.175,90.18
90.18,90.18,90.14,90.145
90.155,90.155,90.125,90.145
90.145,90.15,90.135,90.15
90.15,90.17,90.145,90.16
90.16,90.18,90.155,90.175
90.175,90.2,90.17,90.17
90.17,90.175,90.14,90.14
90.15,90.16,90.13,90.16
90.16,90.16,90.105,90.125
90.125,90.135,90.125,90.135
90.135,90.14,90.115,90.13
90.08,90.095,90.08,90.095
90.095,90.105,90.08,90.09
90.09,90.1,90.085,90.095
90.095,90.11,90.095,90.11
90.11,90.11,90.11,90.11
90.11,90.17,90.11,90.165
90.165,90.18,90.155,90.165
90.165,90.165,90.14,90.14
90.14,90.145,90.12,90.12
90.115,90.125,90.115,90.125
90.125,90.16,90.125,90.16
90.16,90.2,90.15,90.19
90.185,90.22,90.18,90.21
90.21,90.21,90.185,90.19
90.19,90.205,90.18,90.205
90.205,90.22,90.2,90.21
90.21,90.22,90.2,90.2
90.205,90.21,90.16,90.16
90.16,90.16,90.15,90.15
90.15,90.15,90.125,90.14
90.14,90.17,90.14,90.15
90.15,90.175,90.145,90.17
90.17,90.17,90.155,90.155
90.155,90.165,90.145,90.145
90.145,90.15,90.135,90.135
90.135,90.14,90.13,90.14
90.14,90.165,90.14,90.16
90.16,90.16,90.155,90.155
89.015,89.04,89.015,89.04
89.035,89.07,89.035,89.07
89.07,89.075,89.06,89.07
89.07,89.07,89.05,89.055
89.055,89.085,89.055,89.08
89.075,89.08,89.075,89.075
89.08,89.08,89.065,89.065
89.065,89.07,89.055,89.06
89.06,89.07,89.055,89.055
89.055,89.055,89.045,89.045
89.05,89.08,89.05,89.055
89.07,89.075,89.05,89.06
89.06,89.085,89.04,89.075
89.075,89.11,89.065,89.08
89.08,89.13,89.08,89.105
89.105,89.105,89.085,89.09
89.1,89.1,89.08,89.09
89.09,89.095,89.07,89.075
89.07,89.09,89.055,89.065
89.065,89.07,89.06,89.07
89.07,89.075,89.06,89.07
89.07,89.075,89.065,89.07
89.075,89.105,89.07,89.105
89.105,89.105,89.08,89.08
89.075,89.075,89.055,89.055
89.055,89.07,89.04,89.045
89.045,89.05,89.005,89.01
89.015,89.03,89.015,89.025
88.41,88.41,88.41,88.41
88.41,88.415,88.405,88.415
88.415,88.43,88.41,88.425
88.425,88.44,88.42,88.44
88.44,88.44,88.435,88.435
88.435,88.44,88.43,88.44
88.435,88.435,88.425,88.43
88.43,88.43,88.425,88.43
88.435,88.44,88.425,88.425
88.425,88.43,88.425,88.43
88.425,88.435,88.425,88.43
88.43,88.445,88.425,88.435
88.44,88.45,88.44,88.45
88.45,88.45,88.435,88.435
88.44,88.44,88.44,88.44
88.44,88.44,88.44,88.44
88.44,88.44,88.425,88.425
88.425,88.425,88.42,88.425
88.425,88.425,88.42,88.42
88.42,88.42,88.42,88.42
88.42,88.43,88.42,88.43
88.43,88.445,88.43,88.44
88.44,88.44,88.44,88.44
88.44,88.44,88.425,88.44
88.44,88.445,88.425,88.425
88.425,88.43,88.415,88.42
88.42,88.425,88.42,88.425
88.425,88.43,88.42,88.42
90.04,90.075,90.04,90.075
90.075,90.075,90.065,90.07
90.075,90.075,90.07,90.075
90.075,90.075,90.07,90.07
90.07,90.075,90.07,90.075
90.075,90.08,90.065,90.075
90.075,90.075,90.065,90.07
90.07,90.07,90.055,90.065
90.065,90.07,90.06,90.06
90.065,90.065,90.055,90.055
90.055,90.06,90.055,90.06
90.06,90.07,90.055,90.065
90.065,90.085,90.065,90.08
90.08,90.085,90.08,90.08
90.08,90.085,90.07,90.07
90.07,90.075,90.06,90.07
90.065,90.065,90.055,90.055
90.055,90.06,90.05,90.06
90.06,90.06,90.05,90.06
90.06,90.065,90.06,90.065
90.065,90.07,90.06,90.07
90.07,90.07,90.07,90.07
90.07,90.07,90.07,90.07
90.07,90.07,90.07,90.07
90.065,90.07,90.06,90.07
90.07,90.07,90.06,90.06
90.06,90.065,90.06,90.065
90.065,90.07,90.045,90.05
92.495,92.52,92.495,92.52
92.52,92.52,92.51,92.51
92.51,92.51,92.505,92.505
92.505,92.54,92.505,92.54
92.54,92.55,92.525,92.545
92.54,92.585,92.54,92.585
92.585,92.6,92.575,92.58
92.58,92.59,92.56,92.565
92.57,92.575,92.55,92.57
92.57,92.595,92.535,92.565
92.565,92.565,92.535,92.55
92.55,92.58,92.55,92.56
92.56,92.565,92.54,92.56
92.56,92.6,92.56,92.59
92.59,92.595,92.575,92.585
92.585,92.59,92.57,92.57
92.57,92.57,92.555,92.555
92.555,92.555,92.53,92.54
92.54,92.54,92.54,92.54
92.54,92.545,92.535,92.545
92.545,92.57,92.545,92.565
92.565,92.575,92.565,92.575
92.575,92.58,92.575,92.575
92.58,92.585,92.57,92.57
92.58,92.59,92.56,92.57
92.57,92.575,92.555,92.555
92.555,92.56,92.54,92.555
92.555,92.56,92.535,92.54
93.22,93.23,93.22,93.23
93.23,93.23,93.205,93.21
93.21,93.215,93.185,93.195
93.195,93.195,93.18,93.185
93.185,93.235,93.185,93.235
93.24,93.295,93.235,93.27
93.27,93.295,93.27,93.28
93.28,93.28,93.24,93.25
93.25,93.26,93.22,93.25
93.255,93.265,93.245,93.26
93.26,93.28,93.26,93.27
93.275,93.31,93.275,93.31
93.32,93.33,93.3,93.3
93.3,93.3,93.28,93.28
93.28,93.285,93.27,93.28
93.275,93.28,93.245,93.25
93.25,93.25,93.24,93.24
93.24,93.245,93.205,93.23
93.23,93.26,93.225,93.25
93.25,93.26,93.24,93.245
93.25,93.275,93.245,93.27
93.27,93.27,93.245,93.245
93.255,93.255,93.225,93.23
93.23,93.23,93.215,93.22
93.22,93.225,93.21,93.22
93.215,93.225,93.21,93.22
93.22,93.245,93.2,93.23
93.23,93.25,93.23,93.24
93.12,93.15,93.1,93.1
93.1,93.1,93.06,93.08
93.075,93.075,93.06,93.075
93.075,93.105,93.075,93.095
93.105,93.16,93.1,93.14
93.14,93.16,93.14,93.15
93.15,93.16,93.145,93.16
93.155,93.16,93.15,93.16
93.16,93.16,93.13,93.14
93.14,93.15,93.135,93.145
93.145,93.155,93.115,93.12
93.125,93.16,93.125,93.15
93.15,93.16,93.145,93.16
93.165,93.22,93.165,93.205
93.205,93.205,93.165,93.18
93.18,93.18,93.17,93.17
93.17,93.2,93.165,93.165
93.17,93.17,93.135,93.15
93.145,93.16,93.12,93.125
93.125,93.165,93.125,93.155
93.155,93.18,93.15,93.16
93.16,93.165,93.13,93.155
93.155,93.185,93.155,93.185
93.185,93.19,93.15,93.17
93.17,93.195,93.155,93.195
93.195,93.195,93.135,93.14
93.135,93.14,93.12,93.12
93.12,93.145,93.12,93.125
93.1,93.1,93.06,93.08
93.075,93.075,93.06,93.075
93.075,93.105,93.075,93.095
93.105,93.16,93.1,93.14
93.14,93.16,93.14,93.15
93.15,93.16,93.145,93.16
93.155,93.16,93.15,93.16
93.16,93.16,93.13,93.14
93.14,93.15,93.135,93.145
93.145,93.155,93.115,93.12
93.125,93.16,93.125,93.15
93.15,93.16,93.145,93.16
93.165,93.22,93.165,93.205
93.205,93.205,93.165,93.18
93.18,93.18,93.17,93.17
93.17,93.2,93.165,93.165
93.17,93.17,93.135,93.15
93.145,93.16,93.12,93.125
93.125,93.165,93.125,93.155
93.155,93.18,93.15,93.16
93.16,93.165,93.13,93.155
93.155,93.185,93.155,93.185
93.185,93.19,93.15,93.17
93.17,93.195,93.155,93.195
93.195,93.195,93.135,93.14
93.135,93.14,93.12,93.12
93.12,93.145,93.12,93.125
93.13,93.14,93.1,93.11
93.075,93.075,93.06,93.075
93.075,93.105,93.075,93.095
93.105,93.16,93.1,93.14
93.14,93.16,93.14,93.15
93.15,93.16,93.145,93.16
93.155,93.16,93.15,93.16
93.16,93.16,93.13,93.14
93.14,93.15,93.135,93.145
93.145,93.155,93.115,93.12
93.125,93.16,93.125,93.15
93.15,93.16,93.145,93.16
93.165,93.22,93.165,93.205
93.205,93.205,93.165,93.18
93.18,93.18,93.17,93.17
93.17,93.2,93.165,93.165
93.17,93.17,93.135,93.15
93.145,93.16,93.12,93.125
93.125,93.165,93.125,93.155
93.155,93.18,93.15,93.16
93.16,93.165,93.13,93.155
93.155,93.185,93.155,93.185
93.185,93.19,93.15,93.17
93.17,93.195,93.155,93.195
93.195,93.195,93.135,93.14
93.135,93.14,93.12,93.12
93.12,93.145,93.12,93.125
93.13,93.14,93.1,93.11
93.11,93.11,93.09,93.1
93.195,93.21,93.185,93.2
93.2,93.22,93.2,93.215
93.215,93.24,93.215,93.225
93.225,93.23,93.22,93.23
93.23,93.24,93.225,93.23
93.235,93.24,93.22,93.23
93.225,93.24,93.22,93.22
93.22,93.235,93.22,93.235
93.235,93.235,93.225,93.225
93.23,93.23,93.21,93.21
93.21,93.21,93.19,93.205
93.21,93.22,93.185,93.2
93.2,93.225,93.2,93.215
93.22,93.235,93.215,93.23
93.225,93.245,93.225,93.23
93.23,93.25,93.23,93.24
93.245,93.245,93.215,93.22
93.22,93.24,93.205,93.21
93.21,93.21,93.19,93.19
93.19,93.195,93.19,93.195
93.195,93.21,93.195,93.21
93.21,93.23,93.21,93.23
93.23,93.235,93.21,93.21
93.21,93.21,93.2,93.2
93.2,93.205,93.185,93.195
93.195,93.195,93.14,93.145
93.14,93.17,93.135,93.16
93.16,93.165,93.13,93.135
93.015,93.03,93.015,93.03
93.03,93.03,93.015,93.02
93.02,93.07,93.02,93.03
93.035,93.07,93.03,93.04
93.04,93.075,93.04,93.075
93.075,93.085,93.07,93.07
93.075,93.09,93.07,93.085
93.08,93.08,93.07,93.07
93.07,93.07,93.055,93.055
93.055,93.065,93.055,93.06
93.06,93.065,93.06,93.06
93.055,93.09,93.055,93.09
93.09,93.14,93.09,93.13
93.13,93.135,93.12,93.12
93.115,93.12,93.105,93.105
93.105,93.105,93.085,93.095
93.095,93.095,93.07,93.075
93.075,93.075,93.05,93.05
93.05,93.065,93.005,93.04
93.04,93.06,93.03,93.05
93.05,93.055,93.05,93.05
93.05,93.08,93.05,93.075
93.075,93.1,93.075,93.1
93.1,93.1,93.09,93.09
93.09,93.09,93.08,93.08
93.08,93.08,93.07,93.07
93.07,93.07,93.035,93.04
93.04,93.08,93.04,93.08
92.35,92.36,92.35,92.355
92.36,92.365,92.36,92.36
92.36,92.36,92.355,92.36
92.36,92.38,92.36,92.38
92.38,92.38,92.365,92.38
92.38,92.415,92.375,92.385
92.385,92.415,92.385,92.4
92.4,92.405,92.385,92.385
92.38,92.385,92.375,92.38
92.38,92.395,92.36,92.38
92.38,92.38,92.36,92.37
92.365,92.37,92.365,92.37
92.37,92.375,92.365,92.37
92.37,92.405,92.365,92.39
92.39,92.42,92.39,92.42
92.415,92.415,92.395,92.395
92.395,92.395,92.385,92.39
92.39,92.4,92.385,92.385
92.385,92.385,92.38,92.38
92.38,92.385,92.375,92.375
92.375,92.38,92.37,92.375
92.375,92.395,92.37,92.395
92.395,92.405,92.395,92.395
92.395,92.415,92.395,92.4
92.4,92.4,92.385,92.385
92.385,92.39,92.38,92.385
92.385,92.39,92.38,92.385
92.385,92.39,92.37,92.37
92.36,92.365,92.36,92.36
92.36,92.36,92.355,92.36
92.36,92.38,92.36,92.38
92.38,92.38,92.365,92.38
92.38,92.415,92.375,92.385
92.385,92.415,92.385,92.4
92.4,92.405,92.385,92.385
92.38,92.385,92.375,92.38
92.38,92.395,92.36,92.38
92.38,92.38,92.36,92.37
92.365,92.37,92.365,92.37
92.37,92.375,92.365,92.37
92.37,92.405,92.365,92.39
92.39,92.42,92.39,92.42
92.415,92.415,92.395,92.395
92.395,92.395,92.385,92.39
92.39,92.4,92.385,92.385
92.385,92.385,92.38,92.38
92.38,92.385,92.375,92.375
92.375,92.38,92.37,92.375
92.375,92.395,92.37,92.395
92.395,92.405,92.395,92.395
92.395,92.415,92.395,92.4
92.4,92.4,92.385,92.385
92.385,92.39,92.38,92.385
92.385,92.39,92.38,92.385
92.385,92.39,92.37,92.37
92.37,92.37,92.355,92.355
92.36,92.38,92.36,92.38
92.38,92.38,92.365,92.38
92.38,92.415,92.375,92.385
92.385,92.415,92.385,92.4
92.4,92.405,92.385,92.385
92.38,92.385,92.375,92.38
92.38,92.395,92.36,92.38
92.38,92.38,92.36,92.37
92.365,92.37,92.365,92.37
92.37,92.375,92.365,92.37
92.37,92.405,92.365,92.39
92.39,92.42,92.39,92.42
92.415,92.415,92.395,92.395
92.395,92.395,92.385,92.39
92.39,92.4,92.385,92.385
92.385,92.385,92.38,92.38
92.38,92.385,92.375,92.375
92.375,92.38,92.37,92.375
92.375,92.395,92.37,92.395
92.395,92.405,92.395,92.395
92.395,92.415,92.395,92.4
92.4,92.4,92.385,92.385
92.385,92.39,92.38,92.385
92.385,92.39,92.38,92.385
92.385,92.39,92.37,92.37
92.37,92.37,92.355,92.355
92.355,92.36,92.35,92.36
92.355,92.36,92.35,92.355
93.205,93.225,93.185,93.2
93.2,93.2,93.195,93.195
93.195,93.23,93.195,93.225
93.23,93.25,93.225,93.235
93.235,93.24,93.225,93.235
93.235,93.235,93.22,93.225
93.225,93.23,93.22,93.22
93.22,93.22,93.21,93.215
93.215,93.22,93.21,93.215
93.215,93.235,93.215,93.225
93.225,93.24,93.225,93.235
93.235,93.24,93.23,93.23
93.23,93.235,93.225,93.23
93.23,93.255,93.23,93.25
93.25,93.255,93.235,93.24
93.24,93.245,93.24,93.245
93.245,93.245,93.235,93.24
93.24,93.24,93.215,93.225
93.225,93.23,93.205,93.22
93.22,93.24,93.22,93.24
93.24,93.24,93.235,93.235
93.235,93.24,93.22,93.24
93.24,93.24,93.23,93.235
93.235,93.24,93.23,93.23
93.23,93.23,93.195,93.2
93.19,93.2,93.175,93.19
93.19,93.195,93.185,93.195
93.195,93.2,93.19,93.195
91.095,91.105,91.085,91.09
91.09,91.09,91.06,91.075
91.075,91.095,91.065,91.095
91.09,91.1,91.08,91.085
91.085,91.105,91.085,91.105
91.105,91.11,91.1,91.1
91.1,91.115,91.095,91.115
91.11,91.12,91.105,91.115
91.11,91.135,91.11,91.115
91.115,91.125,91.09,91.09
91.09,91.1,91.075,91.1
91.1,91.11,91.09,91.1
91.1,91.135,91.1,91.125
91.125,91.13,91.115,91.125
91.125,91.16,91.125,91.145
91.145,91.145,91.13,91.135
91.135,91.135,91.115,91.12
91.12,91.12,91.09,91.1
91.1,91.11,91.1,91.105
91.105,91.11,91.095,91.11
91.11,91.11,91.1,91.11
91.11,91.16,91.11,91.12
91.12,91.12,91.11,91.11
91.11,91.11,91.1,91.11
91.11,91.115,91.11,91.11
91.11,91.11,91.095,91.095
91.1,91.11,91.09,91.09
