open,max,min,close
1.1141,1.11435,1.11385,1.11395
1.114,1.11425,1.1139,1.1141
1.1141,1.1143,1.114,1.11415
1.11415,1.1146,1.1141,1.1144
1.11435,1.1145,1.1143,1.11435
1.11435,1.11495,1.11435,1.1149
1.1149,1.11525,1.11455,1.11515
1.1152,1.11525,1.1148,1.1149
1.11485,1.11485,1.11435,1.11445
1.11445,1.11515,1.11435,1.11485
1.11485,1.1165,1.11485,1.1161
1.11605,1.11615,1.1156,1.11565
1.1157,1.1161,1.11545,1.116
1.116,1.11655,1.1156,1.1164
1.1165,1.1165,1.1154,1.1157
1.11565,1.11615,1.11535,1.11565
1.11565,1.1157,1.1153,1.1155
1.11555,1.11575,1.1152,1.1152
1.11525,1.11525,1.11485,1.11485
1.1149,1.1153,1.11455,1.11525
1.11525,1.1153,1.1151,1.11525
1.11525,1.1157,1.11525,1.1157
1.1157,1.1157,1.1153,1.11535
1.11535,1.11565,1.11525,1.1153
1.1153,1.1153,1.11475,1.1148
1.11475,1.11495,1.1146,1.11475
1.11475,1.1148,1.11455,1.1147
1.11475,1.11505,1.1146,1.11485
0.97864,0.97876,0.97849,0.97873
0.97872,0.97945,0.97871,0.97937
0.97939,0.97942,0.97924,0.97932
0.97934,0.9798,0.97934,0.97978
0.97974,0.98024,0.97962,0.98017
0.98015,0.98045,0.97998,0.98038
0.98038,0.98038,0.98006,0.9801
0.98013,0.98014,0.97969,0.97969
0.97967,0.97984,0.97938,0.97981
0.97981,0.97997,0.97981,0.97993
0.97993,0.98042,0.97993,0.9803
0.98028,0.98034,0.98028,0.98031
0.98031,0.98103,0.98031,0.98083
0.98083,0.98083,0.98063,0.98073
0.98073,0.98073,0.9803,0.98032
0.9803,0.9803,0.98013,0.98024
0.98025,0.98045,0.98012,0.98016
0.98014,0.98017,0.97992,0.97998
0.97995,0.97995,0.9797,0.9797
0.9797,0.98036,0.97963,0.98036
0.98037,0.9805,0.98011,0.98018
0.98015,0.98033,0.98013,0.98028
