open,max,min,close
1.5844,1.5845,1.58415,1.58435
1.5843,1.58455,1.5843,1.58445
1.5844,1.5844,1.5839,1.584
1.58395,1.58395,1.58365,1.5837
1.5837,1.5843,1.5837,1.58425
1.58425,1.58485,1.58425,1.58485
1.58485,1.5852,1.58475,1.58515
1.5851,1.58525,1.58495,1.58495
1.58495,1.5853,1.5849,1.5852
1.5852,1.5853,1.5851,1.58515
1.58515,1.58515,1.58455,1.58465
1.58465,1.5847,1.5845,1.58455
1.5845,1.5846,1.58415,1.5844
1.5844,1.5844,1.58375,1.584
1.584,1.5841,1.584,1.5841
1.5841,1.5845,1.5841,1.58425
1.58435,1.5847,1.5841,1.58425
1.58425,1.58445,1.58415,1.58445
1.5844,1.5847,1.58435,1.5844
1.58445,1.58495,1.58445,1.5849
1.5849,1.58525,1.58485,1.58505
1.58505,1.5851,1.58495,1.58505
1.58505,1.58505,1.5846,1.58465
1.58465,1.5847,1.58425,1.58425
1.58425,1.5848,1.58415,1.58445
1.5844,1.5844,1.58385,1.5839
1.5839,1.5839,1.5836,1.5838
1.58375,1.58385,1.5836,1.5837
1.56115,1.5613,1.5606,1.56075
1.56075,1.56355,1.56075,1.56295
1.56295,1.5644,1.5628,1.56425
1.5642,1.56485,1.5642,1.56465
1.56465,1.5654,1.56455,1.5653
1.5653,1.56555,1.56495,1.56515
1.56515,1.56515,1.56445,1.5646
1.5646,1.56465,1.56395,1.564
1.56395,1.5641,1.563,1.5631
1.563,1.56325,1.56265,1.5632
1.5632,1.5632,1.5622,1.5624
1.56235,1.5626,1.56195,1.56195
1.56195,1.5622,1.56175,1.5618
1.5618,1.56245,1.5618,1.56245
1.5624,1.5627,1.56205,1.5626
1.5626,1.56295,1.5625,1.5628
1.5628,1.563,1.5624,1.56245
1.56245,1.563,1.56215,1.56295
1.56295,1.5632,1.56255,1.56315
1.5632,1.5639,1.563,1.56345
1.56345,1.56375,1.5633,1.56365
1.56365,1.56395,1.5636,1.56375
1.56375,1.5638,1.56345,1.5637
1.56375,1.56375,1.5629,1.563
1.563,1.563,1.56205,1.56205
1.5621,1.5628,1.5619,1.56265
1.56265,1.56265,1.562,1.56215
1.56215,1.56215,1.56125,1.56135
1.53045,1.5306,1.5302,1.53025
1.53025,1.5306,1.5302,1.5304
1.53035,1.53095,1.5303,1.5308
1.5308,1.5314,1.5308,1.53105
1.53105,1.5313,1.53085,1.5313
1.5313,1.5313,1.5311,1.53115
1.5311,1.5311,1.5307,1.5311
1.5311,1.5313,1.53105,1.5313
1.5313,1.5331,1.53115,1.53255
1.5325,1.5328,1.5319,1.53205
1.53205,1.53205,1.53135,1.53135
1.53135,1.5314,1.5311,1.53125
1.53125,1.53145,1.5312,1.53145
1.53155,1.53155,1.5312,1.5312
1.53125,1.53125,1.53105,1.53105
1.53105,1.53105,1.53105,1.53105
1.53105,1.5317,1.53105,1.5317
1.53175,1.5319,1.5316,1.5318
1.5318,1.5319,1.53155,1.53175
1.53175,1.5323,1.5317,1.5322
1.5322,1.53245,1.53195,1.53225
1.53225,1.53225,1.53175,1.53175
1.53175,1.5318,1.5311,1.5312
1.5312,1.5313,1.531,1.53105
1.53105,1.53105,1.53055,1.53055
1.53055,1.5307,1.5305,1.5306
1.5306,1.53075,1.53035,1.5304
1.5305,1.5306,1.53045,1.53045
1.50255,1.50305,1.5025,1.50305
1.5031,1.50385,1.5031,1.5036
1.5037,1.5038,1.5036,1.5038
1.5038,1.50385,1.5037,1.50375
1.5038,1.5045,1.5038,1.5044
1.5044,1.5046,1.50425,1.5045
1.5045,1.5049,1.5044,1.5046
1.5046,1.50465,1.50435,1.50445
1.50445,1.5046,1.50415,1.50415
1.50415,1.50425,1.5037,1.50375
1.50375,1.50425,1.5037,1.50415
1.50415,1.50415,1.50405,1.5041
1.5041,1.5041,1.5036,1.50365
1.5037,1.5037,1.5033,1.5033
1.50335,1.50355,1.50325,1.5033
1.50335,1.5036,1.50325,1.50345
1.50335,1.5035,1.5033,1.50345
1.5034,1.5038,1.50335,1.5038
1.50375,1.5038,1.50355,1.5037
1.50385,1.50415,1.5038,1.50405
