open,max,min,close
1.02945,1.0295,1.0294,1.02945
1.0295,1.0298,1.0295,1.0298
1.0298,1.03015,1.02965,1.03015
1.03015,1.03015,1.02985,1.02985
1.02985,1.031,1.02985,1.03095
1.03095,1.031,1.03065,1.03095
1.03095,1.03155,1.0309,1.0313
1.0313,1.0313,1.03075,1.031
1.031,1.0316,1.03095,1.0316
1.0316,1.0316,1.03105,1.0313
1.0313,1.0315,1.0311,1.0312
1.0312,1.03145,1.03065,1.03065
1.0306,1.03075,1.0302,1.03035
1.03035,1.03045,1.0301,1.03015
1.03015,1.03015,1.03005,1.03015
1.03015,1.0304,1.03015,1.03015
1.03015,1.0304,1.03015,1.0304
1.0304,1.03055,1.0304,1.0305
1.0305,1.03065,1.0304,1.03065
1.03065,1.03105,1.03065,1.03095
1.03095,1.0312,1.0309,1.0311
1.0311,1.0311,1.0309,1.031
1.031,1.031,1.03055,1.03075
1.03075,1.03085,1.0307,1.03075
1.03075,1.0308,1.0306,1.03075
1.03075,1.03075,1.0303,1.03035
1.03035,1.0304,1.03015,1.0302
1.03015,1.03025,1.02995,1.03005
1.07285,1.07295,1.07265,1.0729
1.07295,1.0734,1.07295,1.0734
1.07345,1.0736,1.07325,1.07325
1.0733,1.07345,1.07325,1.0733
1.0733,1.0734,1.07325,1.07335
1.07335,1.0735,1.0732,1.07345
1.07345,1.07385,1.07345,1.07385
1.07385,1.0741,1.07375,1.07405
1.074,1.0746,1.074,1.07445
1.07445,1.07445,1.07375,1.0739
1.07385,1.0739,1.0737,1.0738
1.0738,1.07385,1.07355,1.0736
1.0736,1.0736,1.0733,1.07335
1.07335,1.0735,1.07335,1.07345
1.07345,1.07355,1.0734,1.07355
1.07355,1.07355,1.0735,1.07355
1.07355,1.07365,1.0735,1.07355
1.07355,1.0736,1.07355,1.07355
1.07355,1.07415,1.07355,1.07415
1.07415,1.0742,1.07395,1.07415
1.07405,1.0741,1.07385,1.07385
1.07385,1.07385,1.07355,1.0736
1.0736,1.07365,1.07345,1.07345
1.07345,1.07345,1.0731,1.0733
1.0733,1.0734,1.0732,1.07325
1.07325,1.07325,1.07305,1.0731
1.07305,1.07335,1.0729,1.0733
1.0733,1.0735,1.0732,1.0733
1.07335,1.0736,1.0731,1.07345
1.07345,1.07345,1.07325,1.07335
1.0733,1.0736,1.0733,1.07345
1.07345,1.0741,1.07345,1.0741
1.0742,1.0743,1.0741,1.0742
1.07425,1.07455,1.074,1.07455
1.0747,1.07515,1.0747,1.0748
1.07485,1.075,1.0747,1.07475
1.07475,1.07495,1.07465,1.07475
1.07475,1.07565,1.07475,1.07545
1.07545,1.07545,1.07475,1.07485
1.07485,1.07495,1.0746,1.07465
1.07465,1.0747,1.07445,1.0745
1.07445,1.0745,1.0743,1.07435
1.07435,1.0746,1.07435,1.07445
1.07445,1.0745,1.07425,1.07445
1.0745,1.07455,1.07435,1.07435
1.0743,1.07435,1.0742,1.07435
1.07435,1.07495,1.07435,1.0749
1.0749,1.0752,1.0749,1.07515
1.0752,1.0752,1.0746,1.07485
1.0749,1.075,1.07485,1.0749
1.0749,1.0749,1.0745,1.07455
1.07455,1.07455,1.0743,1.0743
1.0743,1.07435,1.07415,1.07415
1.07415,1.07415,1.07375,1.07375
1.07375,1.07405,1.07365,1.07405
1.07405,1.07415,1.0739,1.0739
1.0883,1.08855,1.0883,1.08845
1.08845,1.089,1.08825,1.08895
1.0889,1.08905,1.0888,1.08885
1.08875,1.0889,1.0885,1.08855
1.08855,1.08865,1.0884,1.08845
1.08845,1.0892,1.08845,1.0892
1.08925,1.08965,1.08905,1.08965
1.08965,1.08985,1.08955,1.08975
1.08975,1.08975,1.08905,1.08955
1.0895,1.0895,1.08915,1.08915
1.08915,1.08935,1.0891,1.08915
1.08915,1.08915,1.0889,1.08905
1.08905,1.08915,1.08905,1.08905
1.08905,1.0891,1.08875,1.0888
1.0888,1.08895,1.08875,1.08895
1.08895,1.08905,1.08875,1.089
1.08905,1.0891,1.08885,1.089
1.089,1.08915,1.0889,1.08915
1.08915,1.08955,1.08915,1.08955
1.08955,1.08965,1.0894,1.0896
1.08955,1.08955,1.0892,1.08925
1.08925,1.08965,1.0892,1.08925
1.0893,1.08935,1.08885,1.0889
1.0889,1.08895,1.08875,1.0888
1.08885,1.089,1.0887,1.08895
1.0889,1.0891,1.08885,1.08885
1.08885,1.08885,1.08845,1.08845
1.08845,1.08845,1.0877,1.08775
1.10985,1.10985,1.10945,1.10955
1.1095,1.11,1.1095,1.10995
1.10995,1.1103,1.10975,1.11005
1.11005,1.11015,1.1098,1.1098
1.1098,1.11025,1.10965,1.11025
1.1102,1.11065,1.1102,1.11065
1.11065,1.11105,1.11065,1.1108
1.1108,1.1109,1.1105,1.11055
1.11055,1.11085,1.11055,1.11085
1.11085,1.11115,1.1108,1.11115
1.11115,1.11125,1.1109,1.1109
1.11095,1.11105,1.1106,1.1107
1.1107,1.1108,1.1104,1.1104
1.1104,1.1105,1.11,1.11005
1.11005,1.1101,1.1098,1.11005
1.11005,1.11015,1.10975,1.10995
1.10995,1.11025,1.10995,1.11025
1.11025,1.1105,1.1102,1.11045
1.11045,1.111,1.11035,1.11095
1.11105,1.11115,1.1106,1.1108
1.1106,1.11075,1.11045,1.1107
1.11075,1.1111,1.1107,1.1109
1.1109,1.11105,1.11085,1.11095
1.11095,1.1111,1.1105,1.11055
1.11055,1.1106,1.1102,1.11025
1.11025,1.11045,1.11,1.11
1.11,1.11005,1.10975,1.11
1.11,1.1101,1.10965,1.10965
1.10765,1.10765,1.10725,1.10735
1.10735,1.10785,1.10735,1.10785
1.10785,1.108,1.10775,1.10775
1.1077,1.1081,1.10765,1.1081
1.10815,1.1084,1.10815,1.1084
1.1084,1.1086,1.10835,1.10845
1.10845,1.10855,1.10845,1.10845
1.1085,1.10855,1.10845,1.10845
1.10845,1.10845,1.10825,1.1083
1.1083,1.1083,1.10805,1.10815
1.1081,1.10825,1.10775,1.1078
1.1078,1.10785,1.10745,1.1078
1.10785,1.10805,1.1077,1.1077
1.1077,1.1077,1.10735,1.1075
1.1075,1.1076,1.10725,1.10755
1.10755,1.1076,1.10745,1.1075
1.1075,1.10795,1.10745,1.10795
1.10795,1.10825,1.1078,1.10825
1.10825,1.1085,1.1082,1.10835
1.10835,1.10835,1.10815,1.1083
1.1083,1.10835,1.1079,1.10805
1.1081,1.1082,1.10795,1.108
1.10805,1.1084,1.10805,1.1081
1.1081,1.10825,1.10805,1.1082
1.1082,1.1082,1.108,1.108
1.108,1.108,1.10775,1.10775
1.1077,1.1078,1.10735,1.10735
1.10735,1.1075,1.1073,1.1075
0.98623,0.98647,0.98621,0.98647
0.98651,0.98671,0.98647,0.98671
0.98674,0.9869,0.98671,0.9868
0.9867,0.9868,0.9866,0.98664
0.98664,0.98681,0.98664,0.98681
0.98683,0.9878,0.98683,0.98739
0.9874,0.98821,0.98733,0.98819
0.98819,0.98829,0.9881,0.9881
0.9881,0.98833,0.988,0.98813
0.9881,0.9882,0.98763,0.98766
0.98763,0.98765,0.98723,0.9874
0.9874,0.98779,0.9869,0.9869
0.98691,0.98706,0.98687,0.98692
0.98691,0.98694,0.98681,0.98681
0.98682,0.98713,0.98682,0.98701
0.98701,0.98713,0.987,0.98713
0.98713,0.98784,0.98709,0.98775
0.98767,0.98789,0.98763,0.98789
0.98789,0.98824,0.98777,0.98821
0.98822,0.98822,0.98788,0.9879
0.98794,0.98806,0.98794,0.98796
0.98796,0.98802,0.98775,0.98797
0.98797,0.98802,0.98763,0.98763
0.98768,0.98771,0.98712,0.98717
0.98723,0.98737,0.98718,0.98722
0.9872,0.98747,0.98711,0.98743
0.98736,0.98737,0.98686,0.98695
0.98693,0.98694,0.98654,0.98655
0.96181,0.96233,0.96177,0.96219
0.96219,0.96242,0.9619,0.96203
0.96207,0.96212,0.96126,0.96126
0.96119,0.96136,0.96052,0.96136
