open,max,min,close
92.42,92.435,92.42,92.43
92.43,92.43,92.425,92.425
92.425,92.44,92.42,92.435
92.435,92.45,92.435,92.44
92.44,92.445,92.44,92.445
92.445,92.455,92.445,92.455
92.455,92.46,92.45,92.455
92.455,92.465,92.45,92.46
92.46,92.46,92.45,92.455
92.455,92.46,92.455,92.455
92.455,92.455,92.445,92.445
92.445,92.445,92.44,92.44
92.44,92.445,92.44,92.445
92.445,92.45,92.44,92.44
92.44,92.445,92.44,92.445
92.445,92.45,92.44,92.44
92.44,92.45,92.44,92.44
92.44,92.45,92.44,92.445
92.44,92.455,92.44,92.445
92.445,92.45,92.445,92.45
92.45,92.46,92.45,92.46
92.46,92.46,92.445,92.45
92.45,92.45,92.435,92.435
92.435,92.445,92.435,92.44
92.44,92.44,92.43,92.435
92.435,92.435,92.435,92.435
92.435,92.435,92.435,92.435
92.435,92.435,92.43,92.43
92.87,92.87,92.86,92.86
92.86,92.87,92.86,92.87
92.87,92.88,92.87,92.87
92.87,92.87,92.87,92.87
92.87,92.88,92.87,92.875
92.875,92.88,92.87,92.875
92.875,92.895,92.875,92.89
92.895,92.9,92.895,92.9
92.9,92.9,92.9,92.9
92.9,92.9,92.9,92.9
92.9,92.915,92.885,92.885
92.885,92.895,92.885,92.89
92.89,92.89,92.87,92.87
92.87,92.875,92.87,92.87
92.87,92.875,92.87,92.875
92.875,92.875,92.875,92.875
92.875,92.875,92.87,92.875
92.875,92.88,92.875,92.875
92.875,92.89,92.875,92.89
92.89,92.9,92.885,92.89
92.89,92.89,92.87,92.875
92.875,92.875,92.86,92.86
92.86,92.86,92.845,92.845
92.845,92.855,92.835,92.84
92.84,92.845,92.835,92.84
92.84,92.85,92.84,92.85
92.85,92.85,92.845,92.85
92.85,92.86,92.85,92.85
92.025,92.03,91.99,91.99
91.99,92.02,91.985,92.015
92.015,92.02,92.015,92.015
92.015,92.02,92.01,92.015
92.03,92.035,92.015,92.025
92.03,92.045,92.025,92.045
92.045,92.055,92.04,92.05
92.05,92.06,92.05,92.055
92.055,92.06,92.05,92.055
92.055,92.065,92.05,92.06
92.06,92.06,92.02,92.02
92.015,92.025,92.01,92.025
92.025,92.045,92.015,92.015
92.015,92.045,92.01,92.04
92.04,92.045,92.04,92.04
92.04,92.04,92.035,92.035
92.035,92.055,92.035,92.05
92.05,92.05,92.02,92.03
92.03,92.055,92.03,92.05
92.05,92.05,92.035,92.045
92.045,92.045,92.015,92.015
92.015,92.02,92.005,92.005
92.005,92.01,91.985,91.985
91.985,92.015,91.975,92.015
92.015,92.015,91.99,91.99
92,92,91.99,91.99
91.99,91.995,91.965,91.965
