open,max,min,close
1.45002,1.45014,1.44972,1.44992
1.44973,1.45015,1.44952,1.44983
1.44979,1.45004,1.44952,1.44991
1.44975,1.4501,1.44973,1.44996
1.44994,1.45018,1.44965,1.45004
1.45012,1.45031,1.44972,1.45022
1.45015,1.45075,1.44985,1.45063
1.45062,1.45106,1.45015,1.45099
1.45106,1.45106,1.45038,1.45079
1.45081,1.45091,1.45019,1.45052
1.45061,1.45086,1.45013,1.45043
1.45051,1.45093,1.45027,1.45064
1.45066,1.45079,1.45024,1.45046
1.45047,1.45067,1.44996,1.45005
1.45015,1.45042,1.44991,1.45024
1.45014,1.45081,1.45009,1.45062
1.45064,1.45077,1.4504,1.45057
1.45028,1.45074,1.45016,1.4506
1.45065,1.45087,1.45034,1.45071
1.45069,1.45095,1.45042,1.45088
1.4508,1.45086,1.45044,1.45051
1.45063,1.45068,1.44979,1.4499
1.45002,1.45024,1.44978,1.44994
1.44994,1.45015,1.44972,1.45012
1.44996,1.45032,1.44974,1.45001
1.44998,1.45002,1.44961,1.44983
1.44983,1.44985,1.44925,1.44945
1.44944,1.44978,1.44926,1.44951
1.33616,1.33645,1.33594,1.33624
1.33633,1.33644,1.33603,1.33641
1.3363,1.33677,1.33625,1.33668
1.33654,1.33694,1.33632,1.33652
1.33655,1.33684,1.33624,1.33671
1.33681,1.33686,1.33626,1.33673
1.33666,1.33715,1.33652,1.33708
1.33718,1.33742,1.33698,1.33731
1.33718,1.33766,1.33697,1.33756
1.33758,1.3378,1.33712,1.33736
1.33733,1.33774,1.33689,1.33746
1.33752,1.33763,1.33684,1.33716
1.3372,1.33744,1.33657,1.33699
1.33699,1.33711,1.33654,1.33676
1.33657,1.33697,1.33657,1.33684
1.33666,1.33695,1.33632,1.33664
1.3364,1.33689,1.33637,1.33681
1.33667,1.33698,1.33663,1.33691
1.33703,1.33751,1.33678,1.3374
1.33735,1.33762,1.337,1.33747
1.33728,1.33754,1.33694,1.33731
1.33739,1.33763,1.33718,1.33735
1.3372,1.33745,1.33676,1.33696
1.33693,1.33736,1.33665,1.33691
1.3368,1.33719,1.33659,1.33669
1.33677,1.33689,1.33635,1.33668
1.33656,1.33683,1.33636,1.33655
1.33651,1.33664,1.33587,1.3361
1.3363,1.33677,1.33625,1.33668
1.33654,1.33694,1.33632,1.33652
1.33655,1.33684,1.33624,1.33671
1.33681,1.33686,1.33626,1.33673
1.33666,1.33715,1.33652,1.33708
1.33718,1.33742,1.33698,1.33731
1.33718,1.33766,1.33697,1.33756
1.33758,1.3378,1.33712,1.33736
1.33733,1.33774,1.33689,1.33746
1.33752,1.33763,1.33684,1.33716
1.3372,1.33744,1.33657,1.33699
1.33699,1.33711,1.33654,1.33676
1.33657,1.33697,1.33657,1.33684
