open,max,min,close
1.43508,1.43522,1.43507,1.43519
1.43527,1.4353,1.43495,1.43529
1.43527,1.43543,1.43507,1.43521
1.43548,1.43548,1.43516,1.43529
1.4352,1.43538,1.43515,1.43531
1.43515,1.43543,1.43508,1.43541
1.43526,1.43533,1.43513,1.43527
1.43525,1.43533,1.43519,1.43525
1.4352,1.4354,1.4349,1.43539
1.4353,1.43549,1.4352,1.43549
1.43555,1.43565,1.43517,1.43552
1.43585,1.43591,1.43555,1.43579
1.43576,1.43601,1.43539,1.43583
1.43588,1.43592,1.43558,1.43567
1.43578,1.43583,1.43549,1.43561
1.43575,1.43579,1.43555,1.43579
1.43579,1.43589,1.43553,1.4357
1.4358,1.43586,1.4355,1.43572
1.43564,1.43585,1.43557,1.43577
1.43568,1.43587,1.43562,1.43586
1.43556,1.43579,1.43542,1.43578
1.43581,1.4359,1.43555,1.43567
1.43562,1.43576,1.43553,1.43568
1.4359,1.4359,1.43556,1.43579
1.43559,1.43586,1.43546,1.43585
1.4358,1.4359,1.43576,1.43588
1.4359,1.43596,1.43578,1.43583
1.43576,1.43596,1.43567,1.43595
1.43665,1.43703,1.43663,1.43677
1.43687,1.4369,1.43657,1.43678
1.4368,1.43695,1.43651,1.43669
1.43654,1.43675,1.43637,1.43671
1.43656,1.43668,1.43648,1.43668
1.43676,1.43677,1.43638,1.4365
1.4363,1.4366,1.43619,1.43652
1.43652,1.43663,1.43627,1.43654
1.43633,1.43662,1.43632,1.43656
1.43659,1.43675,1.43639,1.43661
1.43667,1.4367,1.43642,1.43645
1.43655,1.4366,1.43634,1.43652
1.43648,1.43668,1.43626,1.43653
1.43662,1.43669,1.43629,1.43647
1.43636,1.43667,1.43627,1.43662
1.43652,1.43665,1.43631,1.43637
1.43626,1.43652,1.43609,1.43633
1.43644,1.43656,1.43618,1.43647
1.43642,1.43649,1.4362,1.43642
1.43638,1.43654,1.43616,1.43629
1.43641,1.4365,1.43616,1.4365
1.43651,1.43654,1.43623,1.43648
1.43652,1.43659,1.43615,1.43649
1.4365,1.4368,1.43645,1.4367
1.43651,1.43685,1.43646,1.43669
1.43689,1.43701,1.43664,1.43695
1.43697,1.43706,1.43664,1.43697
1.43691,1.43716,1.43672,1.43694
1.43631,1.43656,1.43608,1.43645
1.43646,1.43656,1.43619,1.43643
1.43642,1.43649,1.43613,1.43634
1.43638,1.43657,1.43615,1.43641
1.43639,1.4365,1.43633,1.43643
1.43648,1.43659,1.43626,1.43648
1.43638,1.43658,1.43622,1.43625
1.43621,1.43657,1.43621,1.43653
1.43645,1.43659,1.43624,1.43653
1.43654,1.43659,1.43623,1.43646
1.43645,1.43661,1.43624,1.43644
1.43642,1.43666,1.43623,1.43659
1.43663,1.43676,1.43626,1.4365
1.43656,1.43668,1.43624,1.43651
